127.0.0.1 - - [19/Dec/2025:10:00:43 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "GET /aformula/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 74048
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "GET /aformula/privateChat/username=ZAIRA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:24 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:27 -0300] "POST /aformula/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 35155
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:27 -0300] "GET /aformula/image?path=&pfdrid_c=true HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:27 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/2506261650_WhatsApp%20Image%202025-06-18%20at%2008.44.55.jpeg&pfdrid_c=true HTTP/1.1" 200 137941
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/calendar/calendar.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 4995
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/inputmask/inputmask.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 103497
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/toggleswitch/toggleswitch.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/calendar/calendar.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 92094
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/toggleswitch/toggleswitch.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/fileupload/fileupload.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 39952
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/javax.faces.resource/fileupload/fileupload.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/2506121153_a8e0db25-a869-453a-91b4-d9373bb30cfe.jpeg&pfdrid_c=true HTTP/1.1" 200 54098
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/pages/funcionarioCadastro.xhtml?funcod=1&funacao=Editar HTTP/1.1" 200 40045
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:36 -0300] "GET /aformula/privateChat/username=ZAIRA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:35 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:36 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:41 -0300] "POST /aformula/pages/funcionarioCadastro.xhtml HTTP/1.1" 200 14537
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:43 -0300] "POST /aformula/pages/funcionarioCadastro.xhtml HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:43 -0300] "GET /aformula/pages/autenticacao.xhtml HTTP/1.1" 200 5267
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:43 -0300] "GET /aformula/javax.faces.resource/aformula.png.xhtml?ln=images HTTP/1.1" 200 103462
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:55 -0300] "POST /aformula/pages/autenticacao.xhtml HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:55 -0300] "GET /aformula/pages/principal.xhtml HTTP/1.1" 200 24223
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:55 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:55 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:55 -0300] "GET /aformula/privateChat/username=MVALDIRENE HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:55 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:58 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:58 -0300] "GET /aformula/pages/controlePonto.xhtml HTTP/1.1" 200 114679
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:58 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:58 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:01:58 -0300] "GET /aformula/privateChat/username=MVALDIRENE HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:02:03 -0300] "POST /aformula/pages/controlePonto.xhtml HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:02:08 -0300] "POST /aformula/pages/controlePonto.xhtml HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [19/Dec/2025:10:02:08 -0300] "GET /aformula/pages/autenticacao.xhtml HTTP/1.1" 200 5267
