127.0.0.1 - - [20/Oct/2025:09:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/fileupload/fileupload.js.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 39952
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/calendar/calendar.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 4995
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:58 -0300] "GET /aformula/javax.faces.resource/fileupload/fileupload.css.xhtml?ln=primefaces&v=13.0.0-RC2 HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:59 -0300] "GET /aformula/pages/funcionarioCadastro.xhtml?funcod=30&funacao=Editar HTTP/1.1" 200 36419
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:59 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:59 -0300] "GET /aformula/privateChat/username=MVALDIRENE HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:02:59 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:04 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:04 -0300] "POST /aformula/pages/funcionarioCadastro.xhtml HTTP/1.1" 200 14564
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:06 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:06 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:06 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:06 -0300] "GET /aformula/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 70408
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:06 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:06 -0300] "GET /aformula/privateChat/username=MVALDIRENE HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:07 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:09 -0300] "POST /aformula/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:09 -0300] "GET /aformula/pages/autenticacao.xhtml HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:09 -0300] "GET /aformula/javax.faces.resource/aformula.png.xhtml?ln=images HTTP/1.1" 200 103462
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:15 -0300] "POST /aformula/pages/autenticacao.xhtml HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:15 -0300] "GET /aformula/pages/principal.xhtml HTTP/1.1" 200 19923
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:15 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:15 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:15 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:15 -0300] "GET /aformula/privateChat/username=BRUNA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:30 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:45 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:03:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:00 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:08 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:08 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:15 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:30 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:04:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:30 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:45 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:05:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:49 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:06:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:07:49 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:07:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:07:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:08:39 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:08:39 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:08:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:08:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:09:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:10:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:15 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:11:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
